"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Costa Rica","CRI","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.8155321099791","95.7712345855642","96.3225962911579","96.6684459237828","97.3414861950866","97.4430774110105","97.5626672772548","97.7203456636256","97.767420682225","98.1623088695412","97.0903968944944","97.2660624882348","98.1407662664286","98.4360254439879","98.2686966219306","97.6820166105683","98.4525938876527","98.867164418874","98.9319461195142","98.8659946181895","99.7319808917068","100","",
"Caribbean small states","CSS","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.7194954213481","72.2554393077187","73.1338408162131","77.0949289462497","74.9017844366695","75.7967821979069","80.2811943895684","79.0148987355937","83.5328178734422","82.9647141907157","83.2625624102742","83.9862033761282","84.3457907160877","86.0077970800611","87.2250215824491","87.3898922221634","87.9253271351944","89.887713174786","89.416211087455","91.0048287398276","92.2532315827269","91.9279781967409","93.0299925682177","94.1538523220279","95.0212437748252","95.5690141207624","96.4398833947594","97.7237418296403","98.2061839961802","",
"Cuba","CUB","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.8429304642528","85.2791367832249","82.3712201938865","86.4651016371884","87.1017866776987","87.7368565107323","88.3767571619157","89.0271542195461","89.6926466922709","90.3782011355131","91.0883216298907","91.8438316452004","92.6572671474119","93.557804896426","94.511246940323","95.4770144419615","96.4337290836108","97.3773484729681","98.3130478215135","99.4631470697798","99.7046394406092","100","",
"Curacao","CUW","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Cayman Islands","CYM","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Cyprus","CYP","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Czechia","CZE","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Germany","DEU","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Djibouti","DJI","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.268173606928","62.7042268640208","60.4289018318999","58.1876277844207","54.037392864948","52.4770836280758","26.0992128673422","49.2477361731836","47.5927800778359","45.9210209662463","32.6495810254948","42.5510954208262","40.8640261760507","39.183102529554","37.5008337141265","35.8188358462354","22.0668664096755","32.4658365967692","30.7989581594689","29.1282358373894","29.511420695478","","33.5694068388041","40.2742076939783","35.8112562634778","36.5508396514291","",
"Dominica","DMA","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9972152709961","100","",
"Denmark","DNK","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
